Block,Order,Description,Screenshot Help,Caption
Kerberoasting,1,"After establishing domain access, the CISA team used a tool called SharpHound to enumerate Active Directory information for the ‘<DOMAIN>’ domain. SharpHound queries the domain and obtains information such as users, computers, groups, GPOs, and more. Once this information is gathered, it can be graphically viewed using a tool called BloodHound to uncover potentially insecure relationships and configurations in Active Directory. In this instance, the team identified <# PRIVILEGED SERVICE ACCOUNTS> service accounts that are part of the 'Domain Admins' group.",Privileged service accounts in BloodHound,Service Accounts with Domain Administrator Privileges
Kerberoasting,2,The CISA team proceeded to use <TOOL AND BRIEF DESCRIPTION OF HOW IT WORKS> to initiate a Kerberoast attack. The team used the ticket-granting ticket (TGT) of the compromised user to request a ticket-granting-service (TGS) ticket for each service principal name (SPN). This action can be achieved with any domain account.,Kerberoast tool output,Kerberoasting Service Accounts
Kerberoasting,3,An example of one of the encoded tickets can be seen below. This ticket is associated with the '<ACCOUNT>' service account that is part of the 'Domain Admins' group.,Encoded TGS ticket,Encoded TGS Ticket Obtained via Kerberoasting
Kerberoasting,4,"Since a piece of each TGS ticket is encoded with the corresponding service account's password hash, the CISA team extracted that portion of each ticket and attempted to crack each account’s password offline using a basic wordlist and ruleset. The team successfully obtained the cleartext password for <NUMBER OF CRACKED HASHES> of the service accounts in about <AMOUNT OF TIME TAKEN TO CRACK>, including the privileged ‘<ACCOUNT>’ account.",Kerberos hash and cracked password for privileged account,Cracked '<ACCOUNT>' Kerberos Hash
Responder Capture and Crack,1,"The CISA team utilized the tool Responder to capture credentials from the internal network. Responder is an open-source python-based LLMNR/NBT-NS/mDNS poisoner acting in two stages. First, it will listen to multicast name resolution queries (e.g., LLMNR UDP/5355, NBT-NS UDP/137) and, under the right conditions, spoof a response directing the victim to the machine on which it is running. Once a victim tries to connect to the CISA machine, Responder will exploit the connection to obtain credentials and other data. With Responder, the team captured a hashed password for the ‘<ACCOUNT>’ account.",Responder output showing username and hash,Domain Account Hash Captured via Responder
Responder Capture and Crack,2,The CISA team used a tool called Hashcat to execute offline password cracking attempts using a common word list and rule set and successfully cracked the hash to obtain a cleartext password for the <LOW-PRIVILEGED/PRIVILEGED> ‘<ACCOUNT>’ domain account.,CRACKIN GUI or or Hashcat terminal output with cracked hash,Cracked Domain Account Password
LSASS DA Credential Dump,1,"Using the local administrative rights the '<ACCOUNT>' account has on '<HOSTNAME>,' the CISA team dumped the Local Security Authority Subsystem Service (LSASS) process with the tool <TOOLNAME>, obtaining an NTLM hash for the domain administrator account, '<DOMAIN ADMIN ACCOUNT>'. The NTLM hash can be used to authenticate via pass-the-hash.",LSASS dump output,LSASS Credential Dump on '<HOSTNAME>'
LSASS DA Credential Dump,2,"The CISA team validated domain administrator privileges by authenticating to the domain controller with the ‘<DOMAIN ADMIN ACCOUNT>’ account using the NTLM hash via pass-the-hash to list its shares and verify read/write permissions over the administrative shares. With domain administrator privileges, the team has full control over the domain including access to reachable domain-joined systems. This access can be further abused to obtain sensitive data, broadly propagate malware (including ransomware), and perform various other malicious activities.",NetExec output showing list of domain controller shares and permissions,'<DOMAIN CONTROLLER HOSTNAME>’ Authentication as ‘<DOMAIN ADMIN ACCOUNT>’
AD CS ESC1,1,"Using the low-privileged domain account, '<ACCOUNT>,' the CISA team enumerated Active Directory Certificate Services (AD CS) with the tool Certipy to identify vulnerable certificate templates.",Certipy enumeration command and output,Certipy Vulnerable Certificate Template Enumeration
AD CS ESC1,2,"Certipy identified a certificate template, '<TEMPLATE NAME>,' that enables any domain user to generate a certificate impersonating any other user. This is possible due to the '<GROUP NAME>' group having enrollment rights to the template and the 'Client Authentication' and 'Enrollee Supplies Subject' properties being enabled, allowing the enrollee (in this case, any account in the '<GROUP NAME>' group) to supply an arbitrary Subject Alternative Name (SAN).",Certipy output for vulnerable certificate template highlighting the dangerous enrollment rights and attributes,Vulnerable Certificate Template Properties
